docs/architecture/agent-fleet.md	agent-table	plugins/df/README.md	## Subagents	a776d1b2f6cf
docs/architecture/agent-fleet.md	analyzer-frontmatter	plugins/df/agents/codebase-analyzer.md	L1-L7	aec3045de004
docs/architecture/agent-fleet.md	locator-frontmatter	plugins/df/agents/codebase-locator.md	L1-L7	14f02113f2e9
docs/architecture/agent-fleet.md	tiering-gotcha	CLAUDE.md	## Gotchas	0e90536983a8
docs/architecture/agent-fleet.md	verifier-frontmatter	plugins/df/agents/finding-verifier.md	L1-L7	c9ec183c79cd
docs/architecture/agy-execution-boundary.md	consult-readonly	plugins/agy/skills/consult/SKILL.md	L61-L63	fc105ef2a412
docs/architecture/agy-execution-boundary.md	delegate-constraints	plugins/agy/skills/delegate/SKILL.md	L80-L88	bf5e92e60e4d
docs/architecture/agy-execution-boundary.md	delegate-why-subagent	plugins/agy/skills/delegate/SKILL.md	L10-L10	8fd3523ac7cf
docs/architecture/dual-runtime-distribution.md	agent-install	scripts/install-codex-agents.sh	L3-L7	d557c8a04432
docs/architecture/dual-runtime-distribution.md	bundled-file-reference	CONTRIBUTING.md	## Referencing a Bundled File from a Skill	9bd3fb6bff1c
docs/architecture/dual-runtime-distribution.md	codex-catalog	.agents/plugins/marketplace.json	(whole)	f080b117403c
docs/architecture/dual-runtime-distribution.md	codex-distribution	CONTRIBUTING.md	## Codex Distribution	ff7d4e957c99
docs/architecture/dual-runtime-distribution.md	drift-extraction	scripts/check-codex-agent-drift.sh	L24-L29	90ead0758413
docs/architecture/dual-runtime-distribution.md	drift-rules	scripts/check-codex-agent-drift.sh	L2-L22	a7dd447088da
docs/architecture/knowledge-compiler.md	capture-claim-step	plugins/kb/skills/capture/SKILL.md	### Step 3: Try the claim, and publish if it is free	95e8abce3472
docs/architecture/knowledge-compiler.md	capture-staging	plugins/kb/skills/capture/SKILL.md	### Step 2: Write the record to the staging directory	fcf30c0174f1
docs/architecture/knowledge-compiler.md	checker-claim	plugins/kb/scripts/check-docs.sh	L1707-L1715	ee1226f1072e
docs/architecture/knowledge-compiler.md	checker-manifest	plugins/kb/scripts/check-docs.sh	L33-L39	5f7e294cd559
docs/architecture/knowledge-compiler.md	checker-modes	plugins/kb/scripts/check-docs.sh	L2-L31	b8223ff3f2e0
docs/architecture/knowledge-compiler.md	checker-receipt	plugins/kb/scripts/check-docs.sh	L950-L979	b4eda53b9bb7
docs/architecture/knowledge-compiler.md	kb-skill-table	plugins/kb/README.md	## The skills	67e13ac14f37
docs/architecture/knowledge-compiler.md	kb-two-layers	plugins/kb/README.md	L3-L7	e30b0bfe9698
docs/architecture/knowledge-compiler.md	lint-candidates	plugins/kb/skills/lint/SKILL.md	### Step 2: Collect candidates	d22009ecee34
docs/architecture/knowledge-compiler.md	lint-verdicts	plugins/kb/skills/lint/SKILL.md	### Step 3: Decide a verdict per finding	1998eae21290
docs/architecture/prompt-eval-harness.md	check-header	scripts/eval/check.sh	L1-L13	07ada88cf8b8
docs/architecture/prompt-eval-harness.md	eval-cost	scripts/eval/README.md	## Cost before you start	8950df68be3f
